Index,code,comment,label
26,"public struct BNConstants
{
/// <summary>
/// MinEpsilon = 1e-5
/// </summary>
public const double MinEpsilon = 1e-5;
}",Constant values for BN,1
27,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
28,"~ConvolutionDescriptor()
{
Dispose(false);
}",For dispose,1
29,"~CsrQrInfo()
{
Dispose(false);
}",For dispose,1
30,"public struct csrsv2Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,1
31,"public struct csru2csrInfo
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sorting information,1
32,"~CTCLossDescriptor()
{
Dispose(false);
}",For dispose,1
33,"public struct CUarray
{
/// <summary>
/// /// </summary>
public IntPtr Pointer;
}",CUDA array,0
34,"~CudaFFTPlanMany64()
{
Dispose(false);
}",For dispose,1
35,"~CudaGraph()
{
Dispose(false);
}",For dispose,1
36,"~CudaGraphExec()
{
Dispose(false);
}",For dispose,1
37,"~CudaGraphicsInteropResourceCollection()
{
Dispose(false);
}",For dispose,1
38,"~CudaJitOption()
{
Dispose(false);
}",For dispose,1
39,"~CudaJitOptionCollection()
{
Dispose(false);
}",For dispose,1
40,"public struct CUDA_KERNEL_NODE_PARAMS
{
/// <summary>
/// Kernel to launch
/// </summary>
public CUfunction func;
/// <summary>
/// Width of grid in blocks
/// </summary>
public uint gridDimX;
/// <summary>
/// Height of grid in blocks
/// </summary>
public uint gridDimY;
/// <summary>
/// Depth of grid in blocks
/// </summary>
public uint gridDimZ;
/// <summary>
/// X dimension of each thread block
/// </summary>
public uint blockDimX;
/// <summary>
/// Y dimension of each thread block
/// </summary>
public uint blockDimY;
/// <summary>
/// Z dimension of each thread block
/// </summary>
public uint blockDimZ;
/// <summary>
/// Dynamic shared-memory size per thread block in bytes
/// </summary>
public uint sharedMemBytes;
/// <summary>
/// Array of pointers to kernel parameters
/// </summary>
public IntPtr kernelParams;
/// <summary>
/// Extra options
/// </summary>
public IntPtr extra; }",GPU kernel node parameters,1
41,"public struct CUDA_HOST_NODE_PARAMS
{
/// <summary>
/// The function to call when the node executes
/// </summary>
public CUhostFn fn;
/// <summary>
/// Argument to pass to the function
/// </summary>
public IntPtr userData; }",Host node parameters,1
42,"public void GetrfBatchedS(int n, CudaDeviceVariable<CUdeviceptr> A, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasSgetrfBatched(_blasHandle, n, A.DevicePointer, lda, P.DevicePointer, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasSgetrfBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = i, aii is 0. The factorization has been completed, but U is exactly singular.",1
43,"public void GetrfBatchedD(int n, CudaDeviceVariable<CUdeviceptr> A, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasDgetrfBatched(_blasHandle, n, A.DevicePointer, lda, P.DevicePointer, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasDgetrfBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = i, aii is 0. The factorization has been completed, but U is exactly singular.",1
44,"public void GetrfBatchedC(int n, CudaDeviceVariable<CUdeviceptr> A, int lda,
CudaDeviceVariable<int> P, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasCgetrfBatched(_blasHandle, n, A.DevicePointer, lda, P.DevicePointer, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasCgetrfBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = i, aii is 0. The factorization has been completed, but U is exactly singular.",1
45,"public void GetrfBatchedZ(int n, CudaDeviceVariable<CUdeviceptr> A, int lda,
CudaDeviceVariable<int> P, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasZgetrfBatched(_blasHandle, n, A.DevicePointer, lda, P.DevicePointer, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasZgetrfBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = i, aii is 0. The factorization has been completed, but U is exactly singular.",1
46,"public void GetriBatchedS(int n, CudaDeviceVariable<CUdeviceptr> Aarray, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<CUdeviceptr> Carray, int ldc, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasSgetriBatched(_blasHandle, n, Aarray.DevicePointer, lda, P.DevicePointer, Carray.DevicePointer, ldc, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasSgetriBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = k, U(k,k) is 0. The U is exactly singular and the inversion failed.",1
47,"public void GetriBatchedD(int n, CudaDeviceVariable<CUdeviceptr> Aarray, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<CUdeviceptr> Carray, int ldc, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasDgetriBatched(_blasHandle, n, Aarray.DevicePointer, lda, P.DevicePointer, Carray.DevicePointer, ldc, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasDgetriBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = k, U(k,k) is 0. The U is exactly singular and the inversion failed.",1
48,"public void GetriBatchedC(int n, CudaDeviceVariable<CUdeviceptr> Aarray, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<CUdeviceptr> Carray, int ldc, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasCgetriBatched(_blasHandle, n, Aarray.DevicePointer, lda, P.DevicePointer, Carray.DevicePointer, ldc, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasCgetriBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = k, U(k,k) is 0. The U is exactly singular and the inversion failed.",1
49,"public void GetriBatchedZ(int n, CudaDeviceVariable<CUdeviceptr> Aarray, int lda, CudaDeviceVariable<int> P,
CudaDeviceVariable<CUdeviceptr> Carray, int ldc, CudaDeviceVariable<int> INFO, int batchSize)
{
_status = CudaBlasNativeMethods.cublasZgetriBatched(_blasHandle, n, Aarray.DevicePointer, lda, P.DevicePointer, Carray.DevicePointer, ldc, INFO.DevicePointer, batchSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cublasZgetriBatched"", _status));
if (_status != CublasStatus.Success) throw new CudaBlasException(_status);
}","If info = k, U(k,k) is 0. The U is exactly singular and the inversion failed.",1
50,"public CudaJOThreadsPerBlock(int value)
{
_option = CUJITOption.ThreadsPerBlock;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}","IN: Specifies minimum number of threads per block to target compilation for OUT: Returns the number of threads the compiler actually targeted. This restricts the resource utilization fo the compiler (e.g. max registers) such that a block with the given number of threads should be able to launch based on register limitations. Note, this option does not currently take into account any other resource limitations, such as shared memory utilization. Option type: unsigned int Applies to: compiler only",0
51,"public CudaJOOptimizationLevel(uint value)
{
_option = CUJITOption.OptimizationLevel;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}","Level of optimizations to apply to generated code (0 - 4), with 4 being the default and highest level of optimizations. Option type: unsigned int Applies to: compiler only",1
52,"protected byte[] AddZeroToArray(byte[] image)
{
byte[] retArr = new byte[image.LongLength + 1];
Array.Copy(image, retArr, image.LongLength);
retArr[image.LongLength] = 0;
return retArr;
}",Make sure the kernel image arrays are zero terminated by appending a zero,1
53,"public void MapAllResources()
{
MapAllResources(new CUstream());
}","Maps all graphics resources for access by CUDA. The resources may be accessed by CUDA until they are unmapped. The graphics API from which the resource was registered should not access any resources while they are mapped by CUDA. If an application does so, the results are undefined. If any of the resources is presently mapped for access by CUDA then CUResult.ErrorAlreadyMapped exception is thrown.",1
54,"public void UnmapAllResources()
{
UnmapAllResources(new CUstream());
}","Maps all graphics resources for access by CUDA. The resources may be accessed by CUDA until they are unmapped. The graphics API from which the resource was registered should not access any resources while they are mapped by CUDA. If an application does so, the results are undefined. If any of the resources is presently mapped for access by CUDA then CUResult.ErrorAlreadyMapped exception is thrown.",1
55,"public CudaJOMaxRegisters(uint value)
{
_option = CUJITOption.MaxRegisters;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}",Max number of registers that a thread may use. Option type: unsigned int Applies to: compiler only,1
56,"public struct CUDA_MEMSET_NODE_PARAMS
{
/// <summary>
/// Destination device pointer
/// </summary>
public CUdeviceptr dst;
/// <summary>
/// Pitch of destination device pointer. Unused if height is 1
/// </summary>
public SizeT pitch;
/// <summary>
/// Value to be set
/// </summary>
public uint value;
/// <summary>
/// Size of each element in bytes. Must be 1, 2, or 4.
/// </summary>
public uint elementSize;
/// <summary>
/// Width in bytes, of the row
/// </summary>
public SizeT width;
/// <summary>
/// Number of rows
/// </summary>
public SizeT height;
/// <summary>
/// Initialieses the struct
/// </summary>
/// <typeparam name=""T""></typeparam>
/// <param name=""deviceVariable""></param>
/// <param name=""value""></param>
/// <returns></returns>
public static CUDA_MEMSET_NODE_PARAMS init<T>(CudaDeviceVariable<T> deviceVariable, uint value) where T : struct
{
CUDA_MEMSET_NODE_PARAMS para = new CUDA_MEMSET_NODE_PARAMS();
para.dst = deviceVariable.DevicePointer;
para.pitch = deviceVariable.SizeInBytes;
para.value = value;
para.elementSize = deviceVariable.TypeSize;
para.width = deviceVariable.SizeInBytes;
para.height = 1;
return para;
}
/// <summary>
/// Initialieses the struct
/// </summary>
/// <typeparam name=""T""></typeparam>
/// <param name=""deviceVariable""></param>
/// <param name=""value""></param>
/// <returns></returns>
public static CUDA_MEMSET_NODE_PARAMS init<T>(CudaPitchedDeviceVariable<T> deviceVariable, uint value) where T : struct
{
CUDA_MEMSET_NODE_PARAMS para = new CUDA_MEMSET_NODE_PARAMS();
para.dst = deviceVariable.DevicePointer;
para.pitch = deviceVariable.Pitch;
para.value = value;
para.elementSize = deviceVariable.TypeSize;
para.width = deviceVariable.WidthInBytes;
para.height = deviceVariable.Height;
return para;
}
}",Memset node parameters,1
57,"public CudaFFTPlanMany(int rank, int[] n, int batch, cufftType type)
{
_handle = new cufftHandle();
_rank = rank;
_n = n;
_batch = batch;
_type = type;
//optional:
_inembed = null;
_istride = 1;
_idist = 0;
_onembed = null;
_ostride = 1;
_odist = 0;
res = CudaFFTNativeMethods.cufftPlanMany(ref _handle, rank, n, _inembed, _istride, _idist, _onembed, _ostride, _odist, type, batch);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""CudaFFTPlanMany"", res));
if (res != cufftResult.Success)
throw new CudaFFTException(res);
}",n batch,0
58,"public struct CudaBlasHandle
{
/// <summary>
/// /// </summary>
public IntPtr Pointer;
}",Opaque structure holding CUBLAS library context,1
59,"public CudaJOGenerateDebugInfo(bool value)
{
_option = CUJITOption.GenerateDebugInfo;
_ptrValue = (IntPtr)(value ? 1 : 0);
}",Option type: int Applies to: compiler and linker,1
60,"public CudaJOLogVerbose(bool value)
{
_option = CUJITOption.LogVerbose;
_ptrValue = (IntPtr)(value ? 1 : 0);
}",Option type: int Applies to: compiler and linker,1
61,"public CudaJOGenerateLineInfo(bool value)
{
_option = CUJITOption.GenerateLineInfo;
_ptrValue = (IntPtr)(value ? 1 : 0);
}",Option type: int Applies to: compiler only,1
62,"public CudaJOJITCacheMode(CUJITCacheMode value)
{
_option = CUJITOption.GenerateLineInfo;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}",Option type: unsigned int for enumerated type CUJITCacheMode Applies to: compiler only,1
63,"public CudaFFTPlanMany(int rank, int[] n, int batch, cufftType type, CUstream stream)
: this(rank, n, batch, type)
{
SetStream(stream);
}",plans of any dimension may be created. (old API),1
64,"public CudaFFTPlanMany(int rank, int[] n, int batch, cufftType type, int[] inembed, int istride, int idist, int[] onembed, int ostride, int odist)
{
_handle = new cufftHandle();
_rank = rank;
_n = n;
_batch = batch;
_type = type;
//optional:
_inembed = inembed;
_istride = istride;
_idist = idist;
_onembed = onembed;
_ostride = ostride;
_odist = odist;
res = CudaFFTNativeMethods.cufftPlanMany(ref _handle, rank, n, inembed, istride, idist, onembed, ostride, odist, type, batch);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""CudaFFTPlanMany"", res));
if (res != cufftResult.Success)
throw new CudaFFTException(res);
}",plans of any dimension may be created. (old API),1
65,"public CudaFFTPlanMany(int rank, int[] n, int batch, cufftType type, CUstream stream, int[] inembed, int istride, int idist, int[] onembed, int ostride, int odist)
: this(rank, n, batch, type, inembed, istride, idist, onembed, ostride, odist)
{
SetStream(stream);
}",plans of any dimension may be created. (old API),1
66,"public CudaJOErrorLogBuffer(int size)
{
_size = size;
_buffer = new byte[_size];
_handle = GCHandle.Alloc(_buffer, GCHandleType.Pinned);
_ptrValue = _handle.AddrOfPinnedObject();
_option = CUJITOption.ErrorLogBuffer;
_returnedSize = (IntPtr)_size;
}",Pointer to a buffer in which to print any log messages from PTXAS that reflect errors Option type: char* Applies to: compiler and linker,1
67,"public CudaJOInfoLogBuffer(int size)
{
_size = size;
_buffer = new byte[_size];
_handle = GCHandle.Alloc(_buffer, GCHandleType.Pinned);
_ptrValue = _handle.AddrOfPinnedObject();
_option = CUJITOption.InfoLogBuffer;
_returnedSize = (IntPtr)_size;
}",Pointer to a buffer in which to print any log messsages from PTXAS that are informational in nature Option type: char* Applies to: compiler and linker,1
68,"public void PopContext()
{
if (disposed) throw new ObjectDisposedException(this.ToString());
CUResult res;
res = DriverAPINativeMethods.ContextManagement.cuCtxPopCurrent_v2(ref _context);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cuCtxPopCurrent"", res));
if (res != CUResult.Success)
throw new CudaException(res);
}",Pop the CUDA context,1
69,"public void PushContext()
{
if (disposed) throw new ObjectDisposedException(this.ToString());
CUResult res;
res = DriverAPINativeMethods.ContextManagement.cuCtxPushCurrent_v2(_context);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cuCtxPushCurrent"", res));
if (res != CUResult.Success)
throw new CudaException(res);
}",Push the CUDA context,1
70,"public void Clear()
{
foreach (var elem in _resources)
elem.Dispose();
_resources.Clear();
_CUResources.Clear();
}","Removes all resources in the collection, an disposes every element.",1
71,"public void ResetValues()
{
foreach (var item in _cudaOptions)
{
if (item is CudaJOErrorLogBuffer)
{
(item as CudaJOErrorLogBuffer).Reset();
}
if (item is CudaJOInfoLogBuffer)
{
(item as CudaJOInfoLogBuffer).Reset();
}
}
}",Reset values returned from Cuda API for info and error buffers.,1
72,"public CUsharedconfig GetSharedMemConfig()
{
if (disposed) throw new ObjectDisposedException(this.ToString());
CUResult res;
CUsharedconfig config = new CUsharedconfig();
res = DriverAPINativeMethods.ContextManagement.cuCtxGetSharedMemConfig(ref config);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cuCtxGetSharedMemConfig"", res));
if (res != CUResult.Success)
throw new CudaException(res);
return config;
}",Returns the current shared memory configuration for the current context.,1
73,"public CudaJOFallbackStrategy(CUJITFallback value)
{
_option = CUJITOption.FallbackStrategy;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}",Specifies choice of fallback strategy if matching cubin is not found. Choice is based on supplied CUJITFallback. Option type: unsigned int for enumerated type CUJITFallback Applies to: compiler only,1
74,"public enum DirectXVersion
{
/// <summary>
/// DirectX9
/// </summary>
D3D9,
/// <summary>
/// DirectX10
/// </summary>
D3D10,
/// <summary>
/// DirectX11
/// </summary>
D3D11
}","Specifies the directX version to use with a cuda context, if necessary",1
75,"public void Record()
{
CUstream _stream = new CUstream();
res = DriverAPINativeMethods.Events.cuEventRecord(_event, _stream);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cuEventRecord"", res));
if (res != CUResult.Success) throw new CudaException(res);
}",stream,0
76,"public void Record(CUstream stream)
{
res = DriverAPINativeMethods.Events.cuEventRecord(_event, stream);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cuEventRecord"", res));
if (res != CUResult.Success) throw new CudaException(res);
}",stream,0
77,"public CudaJOTarget(CUJITTarget value)
{
_option = CUJITOption.Target;
_ptrValue = (IntPtr)(Convert.ToUInt32(value, System.Globalization.CultureInfo.InvariantCulture));
}",Target is chosen based on supplied ::CUjit_target_enum. Option type: unsigned int for enumerated type ::CUjit_target_enum Applies to: compiler and linker,1
78,"public void SetConstantVariable<T>(string name, T value) where T : struct
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName));
if (res != CUResult.Success) throw new CudaException(res);
GCHandle handle = GCHandle.Alloc(value, GCHandleType.Pinned);
try
{
IntPtr ptr = handle.AddrOfPinnedObject();
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ptr, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName));
}
finally
{
handle.Free();
}
if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
79,"public void SetConstantVariable<T>(string name, T[] value) where T : struct
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName));
if (res != CUResult.Success) throw new CudaException(res);
GCHandle handle = GCHandle.Alloc(value, GCHandleType.Pinned);
try
{
IntPtr ptr = handle.AddrOfPinnedObject();
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ptr, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName));
}
finally
{
handle.Free();
}
if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
80,"public void SetConstantVariable(string name, byte value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
81,"public void SetConstantVariable(string name, sbyte value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
82,"public void SetConstantVariable(string name, ushort value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
83,"public void SetConstantVariable(string name, short value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
84,"public void SetConstantVariable(string name, uint value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
85,"public void SetConstantVariable(string name, int value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
86,"public void SetConstantVariable(string name, ulong value)
{
CUdeviceptr dVarPtr = new CUdeviceptr();
SizeT varSize = 0;
res = DriverAPINativeMethods.ModuleManagement.cuModuleGetGlobal_v2(ref dVarPtr, ref varSize, _module, name);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuModuleGetGlobal"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
res = DriverAPINativeMethods.SynchronousMemcpy_v2.cuMemcpyHtoD_v2(dVarPtr, ref value, varSize);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}, Kernel: {3}"", DateTime.Now, ""cuMemcpyHtoD"", res, _kernelName)); if (res != CUResult.Success) throw new CudaException(res);
}",The constant variable must be defined in the CUDA module.,1
